category,sub,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,10 year change,source name,source link
ECONOMICS,Economic Freedom,59.5,59.4,59.7,59.5,59.6,60.3,60.4,60.7,60.9,61.1,60.8,61.6,60,4%,Index of Economic Freedom,https://www.heritage.org/index/visualize
ECONOMICS,Economic Growth,6.2,6.49,6.7,6.88,7.08,7.29,7.52,7.73,7.99,8.25,8.47,8.19,8.67,26%,Worldbank,https://data.worldbank.org/indicator/NY.GDP.MKTP.KD
ECONOMICS,Foreign Aid,1.24,1.28,1.39,1.33,1.51,1.61,1.46,1.58,1.64,1.66,1.62,1.94,,52%,Worldbank,https://data.worldbank.org/indicator/DT.ODA.ALLD.CD
ECONOMICS,GDP growth per capita,-2.5,3.25,2.13,1.43,1.61,1.89,1.96,1.64,2.22,2.14,1.52,-4.29,,-232%,Our World in Data,https://ourworldindata.org/grapher/gdp-per-capita-growth?tab=chart
ECONOMICS,GDP per capita,13383,13892,14260,14528,14824,15149,15480,15803,16211,16607,16897,16185,-,17%,Our World in Data,https://ourworldindata.org/grapher/average-years-of-schooling-vs-gdp-per-capita
EDUCATION & DEVELOPMENT,% of Boys Not in Primary School,8.28,8.21,8.4,7.99,7.69,8.03,8.18,7.93,7.93,7.56,7.73,8.01,,-2%,World Bank ,https://data.worldbank.org/indicator/SE.PRM.UNER.MA
EDUCATION & DEVELOPMENT,% of Children Not in Primary School,9,8.87,8.89,8.62,8.37,8.78,8.99,8.8,8.78,8.55,8.64,8.76,,-1%,World Bank,https://data.worldbank.org/indicator/SE.PRM.UNER.ZS
EDUCATION & DEVELOPMENT,% of Girls Not in Primary School,9.77,9.58,9.41,9.29,9.09,9.59,9.87,9.72,9.7,9.6,9.61,9.56,,0%,World Bank,https://data.worldbank.org/indicator/SE.PRM.UNER.FE.ZS
EDUCATION & DEVELOPMENT,Expected Years of Schooling,11.58,11.73,11.96,12.11,12.26,12.42,12.53,12.69,12.71,12.71,12.73,12.8,12.78,9%,Our World in Data,https://ourworldindata.org/global-education#years-of-schooling
EDUCATION & DEVELOPMENT,Gap between Male & Female Adult Literacy,8.8,8.2,7.7,7.8,7.7,7.5,7.4,7.2,7.4,,,,,,Our Calcs,
EDUCATION & DEVELOPMENT,Girls Secondary School Enrollment,60.7,62.1,63.3,63.8,64.8,65.7,65.8,65.8,66.3,66.3,,,,,World Bank,https://data.worldbank.org/indicator/SE.SEC.NENR.FE
EDUCATION & DEVELOPMENT,Global Female Adult Literacy Rate ,79.1,79.8,80.2,80.7,80.9,81.5,81.8,82.3,82.6,82.7,83,83.3,,,WorldBank,https://data.worldbank.org/indicator/SE.ADT.LITR.FE.ZS?view=chart
EDUCATION & DEVELOPMENT,Global Literacy Rate,83.6,84.02,84.3,84.7,84.9,85.4,85.5,86,86.2,86.3,86.5,86.7,-,3%,Our World in Data,https://ourworldindata.org/grapher/literacy-rate-vs-gdp-per-capita
EDUCATION & DEVELOPMENT,Global Male Adult Literacy Rate,88.19,88.25,88.37,88.78,88.93,89.21,89.33,89.68,89.8,89.78,89.93,90.06,,,WorldBank,https://data.worldbank.org/indicator/SE.ADT.LITR.MA.ZS?view=chart
EDUCATION & DEVELOPMENT,Human Development Index,0.69,0.697,0.704,0.709,0.714,0.72,0.724,0.729,0.733,0.736,0.739,0.735,0.732,5%,Our World in Data,https://ourworldindata.org/grapher/human-development-index-vs-gdp-per-capita?tab=table&time=1990..2020&country=~OWID_WRL
EDUCATION & DEVELOPMENT,Literacy,84,84,84,85,85,85,86,86,86,86,86,87,,4%,Worldbank,https://data.worldbank.org/indicator/SE.ADT.LITR.ZS
EDUCATION & DEVELOPMENT,School Enrollment,88.6,88.6,88.7,89,89,89.2,89.2,89.4,89.3,89.4,-,-,-,,Unesco (via Worldbank),https://data.worldbank.org/indicator/SE.PRM.NENR
EDUCATION & DEVELOPMENT,Women's MPs,19.02,19.16,19.83,20.76,21.78,22.19,22.85,23.1,23.6,24.1,24.64,25.58,26.13,34%,Our World in Data,https://ourworldindata.org/grapher/seats-held-by-women-in-national-parliaments?tab=table
ENERGY,Coal,40,40,40.8,39.9,40.8,40.6,38.7,37.8,37.9,37.9,36.5,35.1,36,-12%,Our World in Data,https://ourworldindata.org/grapher/electricity-coal
ENERGY,Natural Gas,22,22.7,22.2,23,21.9,21.9,23.1,23.5,23.2,23.3,23.7,23.7,22.9,4%,Our World in Data,https://ourworldindata.org/grapher/share-electricity-gas
ENERGY,Nuclear Power ,13.3,12.8,11.9,10.8,10.6,10.6,10.6,10.5,10.3,10.1,10.3,10,9.8,-22%,Our World in Data,https://ourworldindata.org/grapher/share-electricity-nuclear
ENERGY,Oil,4.9,4.4,4.7,5,4.6,4.3,4.2,3.8,3.4,2.9,2.6,2.5,2.5,-43%,Our World in Data,https://ourworldindata.org/grapher/share-elec-by-source?time=2009..latest
ENERGY,Photovoltaic Solar Power (PV) ,22844,40338,72216,101745,137227,175617,223204,295229,390207,483012,584686,710281,843086,1661%,Our World in Data,https://ourworldindata.org/grapher/solar-pv-cumulative-capacity
ENERGY,Photovoltaic Solar Power (PV) ,,4808,4104,3124,2742,2478,1887,1717,1483,1267,1046,916,857,-81%,Statista,https://www.statista.com/statistics/809796/global-solar-power-installation-cost-per-kilowatt/
ENERGY,Renewable Energy,19.1,19.4,19.8,20.6,21.5,22,22.7,23.5,24.4,25,26,27.9,27.9,44%,Our World in Data,https://ourworldindata.org/grapher/share-electricity-renewables
ENERGY,Renewable Energy,8.57,8.81,8.99,9.42,9.86,10.22,10.5,10.93,11.36,11.74,12.24,13.46,13.47,53%,Our World in Data,https://ourworldindata.org/grapher/renewable-share-energy
ENERGY,Renewable Energy,95,102,110,118,129,142,156,171,188,205,220,246,,,Our World in Data,https://ourworldindata.org/grapher/wind-generation
ENERGY,Renewables,195,271,323,290,267,328,356,344,392,362,363,,,,https://data.bloomberglp.com/professional/sites/24/BloombergNEF-Clean-Energy-Investment-Trends-2019.pdf,https://data.bloomberglp.com/bnef/sites/14/2018/04/Clean-Energy-Investment-Trends-1Q-2018.pdf
ENERGY,Solar Power,0.1,0.16,0.29,0.45,0.59,0.82,1.05,1.31,1.74,2.16,2.6,3.15,3.63,1903%,Our World in Data,https://ourworldindata.org/grapher/share-electricity-solar
